scenario,daily_capacity_minutes,policy,tasks,minutes,risk_mass,mean_risk,p1_tasks,high_risk_tasks
50%,5000,chronological,652,144282,59.944541880501205,0.09193948141181167,491,28
50%,5000,risk_only,645,144241,85.74311611855661,0.13293506374970018,642,65
50%,5000,rail_yojna_v1,872,144759,88.5115945274081,0.10150412216445884,714,56
75%,7500,chronological,970,215768,89.40518522897268,0.09217029405048731,726,45
75%,7500,risk_only,952,215907,107.98222358670341,0.11342670544821787,914,65
75%,7500,rail_yojna_v1,1138,216334,109.36246071611927,0.09610058059412942,885,63
100%,10000,chronological,1251,280434,115.46645274416665,0.0922993227371436,928,60
100%,10000,risk_only,1239,280994,123.20676373009745,0.09944048727207219,1036,65
100%,10000,rail_yojna_v1,1318,281375,124.11013138230518,0.09416550180751532,1009,64
125%,12500,chronological,1396,318798,128.68565393041587,0.09218170052322054,1043,65
125%,12500,risk_only,1394,318089,129.82205209634628,0.09312916219250092,1057,65
125%,12500,rail_yojna_v1,1409,318337,130.0708547505438,0.09231430429421135,1053,65
