table,format,rows,columns,file_size_mb
data_provenance,parquet,2751984,10,43.4
weather,parquet,630000,13,17.49
asset_condition_history,parquet,600000,11,10.99
train_movements,parquet,525960,14,34.77
weather_forecast,parquet,162000,10,2.4
train_delays,parquet,130824,15,1.77
inspections,parquet,120000,12,3.37
task_resources,parquet,102345,9,2.3
defects,parquet,78856,18,2.55
planning_decisions,parquet,51319,12,1.69
task_materials,parquet,51319,6,0.91
maintenance_tasks,parquet,51319,26,1.59
maintenance_cost,parquet,51319,10,2.09
block_requests,parquet,47211,18,3.1
traffic_demand,parquet,32400,10,0.52
assets,parquet,30000,14,1.03
speed_restrictions,parquet,23918,12,0.82
maintenance_execution,parquet,19094,20,1.62
resource_availability,parquet,14364,9,0.23
blocks,parquet,13268,20,0.91
incidents,parquet,3343,14,0.12
emergency_maintenance,parquet,2309,14,0.16
resources,parquet,1800,9,0.04
signalling,parquet,1800,11,0.04
routes,parquet,1800,9,0.04
trains,parquet,1800,13,0.09
tracks,parquet,1631,9,0.03
track_sections,parquet,900,18,0.05
machines,parquet,450,9,0.02
materials,parquet,400,9,0.02
stations,parquet,180,14,0.02
safety_constraints,parquet,25,16,0.01
networks,parquet,20,12,0.01
target_definition,parquet,8,6,0.01
block_plan_versions,parquet,1,7,0.0
timetable_versions,parquet,1,6,0.0
