scenario,capacity_minutes,policy,top_fraction,top_tasks,covered,coverage_percent
50%,5000,chronological,0.01,14,8,57.142857142857146
50%,5000,chronological,0.05,71,32,45.070422535211264
50%,5000,chronological,0.1,142,62,43.66197183098591
50%,5000,chronological,0.2,285,132,46.31578947368421
50%,5000,risk_only,0.01,14,14,100.0
50%,5000,risk_only,0.05,71,71,100.0
50%,5000,risk_only,0.1,142,142,100.0
50%,5000,risk_only,0.2,285,285,100.0
50%,5000,rail_yojna_v1,0.01,14,13,92.85714285714286
50%,5000,rail_yojna_v1,0.05,71,59,83.09859154929578
50%,5000,rail_yojna_v1,0.1,142,111,78.16901408450704
50%,5000,rail_yojna_v1,0.2,285,216,75.78947368421052
75%,7500,chronological,0.01,14,11,78.57142857142857
75%,7500,chronological,0.05,71,51,71.83098591549296
75%,7500,chronological,0.1,142,97,68.30985915492958
75%,7500,chronological,0.2,285,196,68.7719298245614
75%,7500,risk_only,0.01,14,14,100.0
75%,7500,risk_only,0.05,71,71,100.0
75%,7500,risk_only,0.1,142,142,100.0
75%,7500,risk_only,0.2,285,285,100.0
75%,7500,rail_yojna_v1,0.01,14,14,100.0
75%,7500,rail_yojna_v1,0.05,71,67,94.36619718309859
75%,7500,rail_yojna_v1,0.1,142,128,90.14084507042253
75%,7500,rail_yojna_v1,0.2,285,252,88.42105263157895
100%,10000,chronological,0.01,14,14,100.0
100%,10000,chronological,0.05,71,66,92.95774647887323
100%,10000,chronological,0.1,142,127,89.43661971830986
100%,10000,chronological,0.2,285,251,88.0701754385965
100%,10000,risk_only,0.01,14,14,100.0
100%,10000,risk_only,0.05,71,71,100.0
100%,10000,risk_only,0.1,142,142,100.0
100%,10000,risk_only,0.2,285,285,100.0
100%,10000,rail_yojna_v1,0.01,14,14,100.0
100%,10000,rail_yojna_v1,0.05,71,70,98.59154929577464
100%,10000,rail_yojna_v1,0.1,142,140,98.59154929577464
100%,10000,rail_yojna_v1,0.2,285,278,97.54385964912281
125%,12500,chronological,0.01,14,14,100.0
125%,12500,chronological,0.05,71,71,100.0
125%,12500,chronological,0.1,142,138,97.1830985915493
125%,12500,chronological,0.2,285,280,98.24561403508773
125%,12500,risk_only,0.01,14,14,100.0
125%,12500,risk_only,0.05,71,71,100.0
125%,12500,risk_only,0.1,142,142,100.0
125%,12500,risk_only,0.2,285,285,100.0
125%,12500,rail_yojna_v1,0.01,14,14,100.0
125%,12500,rail_yojna_v1,0.05,71,71,100.0
125%,12500,rail_yojna_v1,0.1,142,142,100.0
125%,12500,rail_yojna_v1,0.2,285,285,100.0
